BAL	CHI	2017	6	2017-10-15 17:00:00	\N	\N	\N
HOU	CLE	2017	6	2017-10-15 17:00:00	\N	\N	\N
MIN	GB	2017	6	2017-10-15 17:00:00	\N	\N	\N
NO	DET	2017	6	2017-10-15 17:00:00	\N	\N	\N
NYJ	NE	2017	6	2017-10-15 17:00:00	\N	\N	\N
WAS	SF	2017	6	2017-10-15 17:00:00	\N	\N	\N
ARI	TB	2017	6	2017-10-15 20:05:00	\N	\N	\N
JAX	LAR	2017	6	2017-10-15 20:05:00	\N	\N	\N
KC	PIT	2017	6	2017-10-15 20:25:00	\N	\N	\N
OAK	LAC	2017	6	2017-10-15 20:25:00	\N	\N	\N
DEN	NYG	2017	6	2017-10-16 00:30:00	\N	\N	\N
TEN	IND	2017	6	2017-10-17 00:30:00	\N	\N	\N
OAK	KC	2017	7	2017-10-20 00:25:00	\N	\N	\N
BUF	TB	2017	7	2017-10-22 17:00:00	\N	\N	\N
CHI	CAR	2017	7	2017-10-22 17:00:00	\N	\N	\N
CLE	TEN	2017	7	2017-10-22 17:00:00	\N	\N	\N
GB	NO	2017	7	2017-10-22 17:00:00	\N	\N	\N
IND	JAX	2017	7	2017-10-22 17:00:00	\N	\N	\N
LAR	ARI	2017	7	2017-10-22 17:00:00	\N	\N	\N
MIA	NYJ	2017	7	2017-10-22 17:00:00	\N	\N	\N
MIN	BAL	2017	7	2017-10-22 17:00:00	\N	\N	\N
PIT	CIN	2017	7	2017-10-22 17:00:00	\N	\N	\N
SF	DAL	2017	7	2017-10-22 20:05:00	\N	\N	\N
LAC	DEN	2017	7	2017-10-22 20:25:00	\N	\N	\N
NYG	SEA	2017	7	2017-10-22 20:25:00	\N	\N	\N
NE	ATL	2017	7	2017-10-23 00:30:00	\N	\N	\N
PHI	WAS	2017	7	2017-10-24 00:30:00	\N	\N	\N
BAL	MIA	2017	8	2017-10-27 00:25:00	\N	\N	\N
CLE	MIN	2017	8	2017-10-29 13:30:00	\N	\N	\N
BUF	OAK	2017	8	2017-10-29 17:00:00	\N	\N	\N
CIN	IND	2017	8	2017-10-29 17:00:00	\N	\N	\N
NE	LAC	2017	8	2017-10-29 17:00:00	\N	\N	\N
NO	CHI	2017	8	2017-10-29 17:00:00	\N	\N	\N
NYJ	ATL	2017	8	2017-10-29 17:00:00	\N	\N	\N
PHI	SF	2017	8	2017-10-29 17:00:00	\N	\N	\N
TB	CAR	2017	8	2017-10-29 17:00:00	\N	\N	\N
SEA	HOU	2017	8	2017-10-29 20:05:00	\N	\N	\N
WAS	DAL	2017	8	2017-10-29 20:25:00	\N	\N	\N
DET	PIT	2017	8	2017-10-30 00:30:00	\N	\N	\N
KC	DEN	2017	8	2017-10-31 00:30:00	\N	\N	\N
NYJ	BUF	2017	9	2017-11-03 00:25:00	\N	\N	\N
CAR	ATL	2017	9	2017-11-05 18:00:00	\N	\N	\N
HOU	IND	2017	9	2017-11-05 18:00:00	\N	\N	\N
JAX	CIN	2017	9	2017-11-05 18:00:00	\N	\N	\N
NO	TB	2017	9	2017-11-05 18:00:00	\N	\N	\N
NYG	LAR	2017	9	2017-11-05 18:00:00	\N	\N	\N
PHI	DEN	2017	9	2017-11-05 18:00:00	\N	\N	\N
TEN	BAL	2017	9	2017-11-05 18:00:00	\N	\N	\N
SF	ARI	2017	9	2017-11-05 21:05:00	\N	\N	\N
SEA	WAS	2017	9	2017-11-05 21:05:00	\N	\N	\N
DAL	KC	2017	9	2017-11-05 21:25:00	\N	\N	\N
MIA	OAK	2017	9	2017-11-06 01:30:00	\N	\N	\N
GB	DET	2017	9	2017-11-07 01:30:00	\N	\N	\N
ARI	SEA	2017	10	2017-11-10 01:25:00	\N	\N	\N
BUF	NO	2017	10	2017-11-12 18:00:00	\N	\N	\N
CHI	GB	2017	10	2017-11-12 18:00:00	\N	\N	\N
DET	CLE	2017	10	2017-11-12 18:00:00	\N	\N	\N
IND	PIT	2017	10	2017-11-12 18:00:00	\N	\N	\N
JAX	LAC	2017	10	2017-11-12 18:00:00	\N	\N	\N
TB	NYJ	2017	10	2017-11-12 18:00:00	\N	\N	\N
TEN	CIN	2017	10	2017-11-12 18:00:00	\N	\N	\N
WAS	MIN	2017	10	2017-11-12 18:00:00	\N	\N	\N
LAR	HOU	2017	10	2017-11-12 21:05:00	\N	\N	\N
ATL	DAL	2017	10	2017-11-12 21:25:00	\N	\N	\N
SF	NYG	2017	10	2017-11-12 21:25:00	\N	\N	\N
DEN	NE	2017	10	2017-11-13 01:30:00	\N	\N	\N
CAR	MIA	2017	10	2017-11-14 01:30:00	\N	\N	\N
PIT	TEN	2017	11	2017-11-17 01:25:00	\N	\N	\N
CHI	DET	2017	11	2017-11-19 18:00:00	\N	\N	\N
GB	BAL	2017	11	2017-11-19 18:00:00	\N	\N	\N
CLE	JAX	2017	11	2017-11-19 18:00:00	\N	\N	\N
HOU	ARI	2017	11	2017-11-19 18:00:00	\N	\N	\N
MIN	LAR	2017	11	2017-11-19 18:00:00	\N	\N	\N
NO	WAS	2017	11	2017-11-19 18:00:00	\N	\N	\N
NYG	KC	2017	11	2017-11-19 18:00:00	\N	\N	\N
LAC	BUF	2017	11	2017-11-19 21:05:00	\N	\N	\N
DEN	CIN	2017	11	2017-11-19 21:25:00	\N	\N	\N
OAK	NE	2017	11	2017-11-19 21:25:00	\N	\N	\N
DAL	PHI	2017	11	2017-11-20 01:30:00	\N	\N	\N
SEA	ATL	2017	11	2017-11-21 01:30:00	\N	\N	\N
